id,condition,source_col,sentence,label
64,medium,messageRules,"I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.",other
118,medium,messageHow,Can combine different colors together.,rule
118,medium,messageHow,Unsure of whether can fuse same shapes as I was unsuccessful.,other
118,medium,messageHow,Checkered shapes can be combined with near full (checkered) shapes.,rule
118,medium,messageHow,"The combined shape will combined properties, one of each shape (not color).",rule
118,medium,messageHow,"Pressing spacebar will consume the item on an empty space, so make sure to press D to drop and not waste points!",tip
118,medium,messageRules,"Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second.",rule
118,medium,messageRules,And colors do not have to be the same to be combined.,rule
100,medium,messageHow,Pick a crystal up and merge it with other crystals.,tip
100,medium,messageRules,I was seeing different colors in the crystals and seeing how valuable they was.,other
87,medium,messageHow,I have no idea what i waws doing.,other
87,medium,messageHow,Guess game,other
87,medium,messageRules,I tried to match,other
24,medium,messageHow,"Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour.",tip
24,medium,messageHow,"Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best.",tip
24,medium,messageRules,"I could not find any rules/patterns, everything seemed fairly random.",other
21,medium,messageHow,"Do not mindlessly click, try and figure out a pattern of what combines first.",strategy
21,medium,messageHow,"It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!",strategy
21,medium,messageRules,"If you combine two shapes together and keep combing them, you move up in the crystal points rank",strategy
116,medium,messageHow,Never go with two similar shaped crystals.,rule
116,medium,messageHow,combining different shapes might help to fuse.,strategy
116,medium,messageHow,After you fuse it.,other
116,medium,messageHow,Take it and harvest it in an empty space.,tip
116,medium,messageRules,I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.,rule
97,medium,messageHow,The triangles combine only with the diamonds and vice versa.,rule
97,medium,messageHow,The squares combine only with the circles and vice versa.,rule
97,medium,messageHow,"Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern.",strategy
97,medium,messageHow,Example: I start with a square of stripes and combine it with a plain circle.,strategy
97,medium,messageHow,"Imagine that a plain square with different colour turns out, which I will combine with another circle with dots.",rule
97,medium,messageHow,And so on.,other
97,medium,messageHow,When you can't combine more drop for later or collect depending on the moves you have left.,strategy
97,medium,messageRules,You can combine with colors or patterns that are different.,rule
97,medium,messageRules,The triangles combine only with the diamonds and vice versa.,rule
97,medium,messageRules,The squares combine only with the circles and vice versa.,rule
12,medium,messageHow,use arrows to cotrol the game,tip
12,medium,messageRules,using space bar to combine or fuse items,tip
120,medium,messageHow,I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.,strategy
120,medium,messageHow,I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves.,other
120,medium,messageHow,Once you get a purple gem don't forget to bank it as any other combinations won't increase value!,tip
120,medium,messageRules,Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way),rule
