sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms,version
71,medium,2026-04-21 09:50:48,I2A9Y19P,medium,54,male,7,10,NA,10_37_33,TRUE,10,"Triangles with circles, squares with diamonds","For me, right at the end I found that squares and circles go together","Dont listen to me, I failed massively by following others instructions",125227,379370,71000,original
72,hard,2026-04-21 09:53:54,Q1HZEMZK,hard,53,male,6,2,None,10_37_42,TRUE,20409,Diamond and triangles pair together as do circles and squares.\nUse diamond plus triangle to improve diamond then add triangles.\nDo the same with circles plus square then extra squares.\nMake sure to harvest for points.,"Diamonds and triangles fuse, but they have to have the same pattern inside them.  The same for circles and squares.  New items sometimes appear on the map so take your time and wait for them to appear.",The patterns inside the shapes needs to match for the fusion to work.,112743,530623,139543,original
73,medium,2026-04-21 09:57:27,4VQVZFP2,medium,27,male,9,8,It took me too long to figure out the method so didnt achieve the higher results I wanted,10_42_20,TRUE,334,"Only combine Triangles with Circles\nand Squares with Diamonds\n\nBank purple right away, you cannot increase the value\n\nKeep following the same combination of shapes above",Combine Circles & Squares only and Triangles and Diamonds only\n\nCombine a blank shape with a patterned shape to receive an upgraded version of the shape you were holding\n\nCarry this over same method up into the upgraded shapes. This took too long for me to figure out so I didnt achieve as many points as I should have following this method,Combine a blank shape with a shape with a pattern or vice versa. This will give you an upgraded version of the shape you were holding (i.e. holding blank red diamond + patterned triangle = patterned orange diamond) pr (holding patterned red square + blank circle = blank orange square).,70910,453083,274352,original
74,hard,2026-04-21 11:13:07,UAKYP14G,hard,27,female,8,7,NA,12_08_14,TRUE,21022,Diamond + triangle + triangle + triangle\nCircle + square + square,Circle + Square is a good combo\nDiamond + Triangle is also a good combo,The plain shapes didnt seem to match well with the pattern shapes after the first fusion.,31372,139380,78663,original
75,medium,2026-04-21 11:15:36,O6U3BQ95,medium,33,female,8,6,none,12_08_31,TRUE,301014,bank purples\ntriangle + circle\nsquare + diamond,bank purples asap,the patterns mean something and can help you build up higher points worth colours,24211,248932,43168,original
76,medium,2026-04-21 11:15:56,5S5QXNT6,medium,29,female,8,6,no,12_09_08,TRUE,300031,triangle + circle \nSquare + diamond \nPurple - BANK,Cirle + Square \nDiamond + triangle \n\nMAKE SURE THAT THE PATTERNS ARE DIFFERENT THE SAME PATTERN TOGETHER WONT WORK\n\nPURPLE - BANK IT,The patterns must be different if they are the same pattern it wont combine,21247,223079,65424,original
77,easy,2026-04-21 11:19:46,4KMY1EG2,easy,72,noresp,5,10,no,12_08_03,TRUE,200020,Colour and pattern dont matter,I didnt understand the game,I didnt understand the game,27806,352436,27406,original
78,medium,2026-04-21 11:20:21,X9B5KQ61,medium,60,male,9,6,None,12_13_20,TRUE,100100,Take the advice of the leading scorer.,Circles and squares are the ones to fuse together,Try different colours and see how that works.,28713,195780,69077,original
79,medium,2026-04-21 11:23:19,95PUWGA3,medium,58,male,8,7,no,12_11_15,TRUE,101,try the combos triangle circle square diamond he mentioned bank at purple,getting the shapes to combine into yellow or other colour maxes points,keep trying to make new colours to combine,56528,339574,81514,original
80,medium,2026-04-21 11:24:28,YX3WX2SA,medium,57,female,10,10,i found that so difficult,12_12_10,TRUE,22,remember what keys to press is a good start.,the light orange squared triangle works well,triangle and diamond also works,53878,413484,113984,original
81,hard,2026-04-21 11:24:29,CLSBD4KA,hard,29,female,6,5,NA,12_17_14,TRUE,373,Diamonds and Trianges go together\nCircles and Squares go together,"Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two","Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two",22800,235736,61313,original
82,easy,2026-04-21 11:24:59,XB38R5OO,easy,37,male,5,3,na,12_19_09,TRUE,310041,Trying to merge same shapes but not really consdiering the colour,Just pick all the same shapes until it goes purple,picking all same shapes until it goes purple for1000000 points,31966,191080,43287,original
83,easy,2026-04-21 11:25:36,WDH1G3HL,easy,40,male,10,7,I didnt figure out the best strategy until Id finished the game and I dont think any of the tips provided helped which suggests the other players tips werent real just part of the experiment.,12_11_17,TRUE,4011,"Match shape, dont forget to drop them, cash in only when they turn purple.","Match shapes like for like (triangle with triangle, etc...), always try to fuse a red shape with a higher ranking colour to maximise points.","Colours dont have to match to fuse, but fusing a red (common) colour to a higher ranked colour will boost the top colour to the next level. I didnt figure this out till the end of the game, so I didnt do so well.",31866,229028,274906,original
84,easy,2026-04-21 11:25:57,F84BDCGS,easy,44,female,10,4,na,12_16_01,TRUE,40222,match the shapes for fusing and keep matching until you can get purple,Match the shapes together and take the ones with the most matching shapes first as sometimes more shapes will spawn randomly,match the shapes but dont worry about the rest as it doesnt seem to make a difference (colour patter etc),32900,263228,62023,original
85,easy,2026-04-21 11:26:05,1VN3ST0Y,easy,43,female,10,1,it was a fun little study,12_13_02,TRUE,121,people said take your time and the same shapes merge with same shapes regardless of colour to make new gems,Match the same shapes regardless of pattern... all mine seemed to have the same points value,No time limit so take your time until your moves are used up and it says game over,41886,445418,71191,original
86,medium,2026-04-21 11:26:24,E5KJVSMX,medium,30,female,3,10,It is difficul to understand the game,12_17_24,TRUE,100000,Combine the triangles with circules and the squares with diamonds,the circules not always match with square and the diamond with triangle.,Different patter match,62299,203552,132063,original
87,hard,2026-04-21 11:28:35,JGEXU2F2,hard,38,male,10,3,none,12_12_59,TRUE,200316,Fusion rules & patterns: Diamonds and triangles go together. Circles and squares go together,"diamond + triangle, and repeat until purple. same goes for circle + square.","diamond + triangle, and repeat until purple. same goes for circle + square.",12064,273239,65824,original
88,easy,2026-04-21 11:29:03,W8JQTZ0G,easy,42,male,7,6,Confusing initially.,12_11_27,TRUE,1,"shapes merge with the same shape e.g. triangle with triangle, patterns dont seem to matter, shapes dont seem to merge with different shapes e.g. square with diamond\nonly merge items of the shape shape - they always merged for me and no mixtures of shapes merged",Focus on shapes and take your time.,Only the same shapes will work.,54101,480845,67076,original
89,easy,2026-04-21 11:31:31,0CZ3ONV8,easy,49,female,8,3,none,12_21_19,TRUE,300030,Merge same shapes. Colour and pattern do not matter. Wait until purple to cash in.,"Merge same shapes. Wait until purple to cash in. There is no time limit, just a moves limit (40).",A purple diamond cannot be harvested so concentrate on other shapes first. Maybe try harvesting a diamond when it is blue (the stage before purple).,22194,265053,108970,original
90,medium,2026-04-21 11:34:51,7791P6WC,medium,70,male,7,8,I hated it but there you go ,12_21_02,TRUE,4,"Combine triangles with circles, and squares with diamonds, and bank purples",Make sure you understand the controls before you start,I couldnt work out the controls in time,241079,148911,58771,original
91,hard,2026-04-21 11:40:18,YQQGXHU9,hard,38,female,5,4,No further comments.,12_23_15,TRUE,21405,Fusion pairs: Diamonds/triangles; circles/squares.\nPatterns must match.\nDiamonds/triangles may be the bigger scorers.,"Learn the pattern fusion order early on. Crystals dont respawn very quickly, so try to maximise a high chain, if you can.","I was told the only shape pairs that work are diamonds with triangles and circles with squares. Same shapes do not fuse (eg. circles with circles).\n\nAlthough matching patterns guarantee a fusion, non-matching patterns can work within a certain order: plain - dotted - criss-cross (I was, unfortunately, not able to work out where diagonal stripes fitted into the order). If you can figure out the pattern order, it can help maximise your points chain.",67145,343561,345143,original
95,medium,2026-04-23 09:41:10,PJV0LM76,medium,60,male,10,9,Not sure I was very good!,10_32_20,TRUE,10070,Triangles + diamonds\nSquare + circle\nPurple bank,Good luck!,Cirlces + squares and diamnonds and triangles I think,34429,259060,27881,corrected
97,medium,2026-04-23 09:45:16,DUUC18WX,medium,54,male,5,7,no,10_38_50,TRUE,1102,"Combine triangles with diamonds, squares with circles.",i dont have any tips. i seemed random to me.,i did not notice anything. i was confused.,36469,147606,38400,corrected
98,medium,2026-04-23 09:46:51,3KXT7U9H,medium,69,female,0,10,I am not competitive and just enjoyed clicking buttons!,10_37_44,TRUE,20000,"Combine Triangles with Diamonds, and Squares with Circles (and vice versa both) Bank the purple colour. In reality - I am not used to video games - I wont remember how to play so I shall just enjoy the experience and not bother about maximising the points","I didnt follow any strategy as I havent a clue what I am doing with video games but the top tip seems to be: Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.",Noe I just happily clicked buttons!,102537,214398,67666,corrected
100,medium,2026-04-23 09:50:36,7RK8SI0V,medium,43,female,10,10,Couldnt work out what was selected,10_40_50,TRUE,100000,Select Triangle and Diamonds together and Squares with Circles,Triangle and diamonds match,No idea which ones selected so look at the found recipe side,36801,184521,49824,corrected
102,medium,2026-04-23 10:08:56,G392JAEE,medium,45,male,10,7,This was fun thanks! Good luck with your research :),10_40_49,TRUE,202010,"Triangles combine with Diamonds, Squares combine with Circles, Bank Purples","Triangles combine with diamonds, squares with circles. For the first match make sure the patterns are different (ie solid red triangle will not combine with solid red diamond, but will combine with any other patterned diamond). When you match, the carried shape remains the same (eg if you match red triangle with a diamond, youre now carrying an orange triangle).  Therefore, keep matching with the same second shape (in this example more diamonds).  So the sequence would be 1. Triangle + Diamond (different patten) > 2. Match with another Diamond (any pattern) > 3. Match with another Diamond > 4. Match with another Diamond etc etc.  Once you reach purple, bank the shape.","Triangle + Diamond, Square + Circle, Bank when purple.  Initial matches in a sequence require these shapes but different patterns (eg solid square matches with striped circle, but solid square wont match with solid circle)",71378,644708,538213,corrected
104,medium,2026-04-27 09:49:58,I2933Z6F,medium,54,female,5,5,No,10_43_17,TRUE,110000,Triangles + Diamonds (then stack)\nSquares + Circles,Drop diamonds onto Triangles\nDrop Circles onto Squares,Bank purple as this cannot be combined,26320,181914,45640,corrected
105,medium,2026-04-27 09:52:51,OFYOMVBT,medium,46,male,9,9,No comments.,10_43_25,TRUE,10210,"Always bank purple.\nTriangle + Diamond, Square + Circle.\nRepeat shape patterns to increase value.","Combine squares with circles, combine triangles with diamonds.\nSquares with dots combine with circles with grid pattern to make the highest value.",Square + circle. Triangle + diamond.\nDot pattern + grid pattern scores high.,64912,186738,147262,corrected
106,medium,2026-04-27 09:55:42,3MHSR7W1,medium,46,male,9,7,Good luck with the study,10_48_48,TRUE,301104,Combine diamond and triangles\nSquare and circle\nKeep stacking,"Combine diamonds and triangles, then keep alternating between the two.  Bank when you get to purple.  Same for circle and square","Make sure to alternate between triable and diamond, or circle and square",33464,226863,43509,corrected
107,medium,2026-04-27 10:21:27,JDDL4KM0,medium,50,male,8,7,no.,10_47_35,TRUE,10090,Only combine certain shapes that work together like diamonds and triangles.,combine circles and squares only and triangles and diamonds only for the best results.,"shapes of the same colour, like red square and red circle work best together.",58436,136601,101943,corrected
