id,condition,summary,message_how,message_rules,total_points
76,medium,triangle + circle \nSquare + diamond \nPurple - BANK,Cirle + Square \nDiamond + triangle \n\nMAKE SURE THAT THE PATTERNS ARE DIFFERENT THE SAME PATTERN TOGETHER WONT WORK\n\nPURPLE - BANK IT,The patterns must be different if they are the same pattern it wont combine,300031
77,easy,Colour and pattern dont matter,I didnt understand the game,I didnt understand the game,200020
78,medium,Take the advice of the leading scorer.,Circles and squares are the ones to fuse together,Try different colours and see how that works.,100100
79,medium,try the combos triangle circle square diamond he mentioned bank at purple,getting the shapes to combine into yellow or other colour maxes points,keep trying to make new colours to combine,101
80,medium,remember what keys to press is a good start.,the light orange squared triangle works well,triangle and diamond also works,22
81,hard,Diamonds and Trianges go together\nCircles and Squares go together,"Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two","Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two",373
82,easy,Trying to merge same shapes but not really consdiering the colour,Just pick all the same shapes until it goes purple,picking all same shapes until it goes purple for1000000 points,310041
83,easy,"Match shape, dont forget to drop them, cash in only when they turn purple.","Match shapes like for like (triangle with triangle, etc...), always try to fuse a red shape with a higher ranking colour to maximise points.","Colours dont have to match to fuse, but fusing a red (common) colour to a higher ranked colour will boost the top colour to the next level. I didnt figure this out till the end of the game, so I didnt do so well.",4011
84,easy,match the shapes for fusing and keep matching until you can get purple,Match the shapes together and take the ones with the most matching shapes first as sometimes more shapes will spawn randomly,match the shapes but dont worry about the rest as it doesnt seem to make a difference (colour patter etc),40222
85,easy,people said take your time and the same shapes merge with same shapes regardless of colour to make new gems,Match the same shapes regardless of pattern... all mine seemed to have the same points value,No time limit so take your time until your moves are used up and it says game over,121
86,medium,Combine the triangles with circules and the squares with diamonds,the circules not always match with square and the diamond with triangle.,Different patter match,100000
87,hard,Fusion rules & patterns: Diamonds and triangles go together. Circles and squares go together,"diamond + triangle, and repeat until purple. same goes for circle + square.","diamond + triangle, and repeat until purple. same goes for circle + square.",200316
88,easy,"shapes merge with the same shape e.g. triangle with triangle, patterns dont seem to matter, shapes dont seem to merge with different shapes e.g. square with diamond\nonly merge items of the shape shape - they always merged for me and no mixtures of shapes merged",Focus on shapes and take your time.,Only the same shapes will work.,1
89,easy,Merge same shapes. Colour and pattern do not matter. Wait until purple to cash in.,"Merge same shapes. Wait until purple to cash in. There is no time limit, just a moves limit (40).",A purple diamond cannot be harvested so concentrate on other shapes first. Maybe try harvesting a diamond when it is blue (the stage before purple).,300030
90,medium,"Combine triangles with circles, and squares with diamonds, and bank purples",Make sure you understand the controls before you start,I couldnt work out the controls in time,4
91,hard,Fusion pairs: Diamonds/triangles; circles/squares.\nPatterns must match.\nDiamonds/triangles may be the bigger scorers.,"Learn the pattern fusion order early on. Crystals dont respawn very quickly, so try to maximise a high chain, if you can.","I was told the only shape pairs that work are diamonds with triangles and circles with squares. Same shapes do not fuse (eg. circles with circles).\n\nAlthough matching patterns guarantee a fusion, non-matching patterns can work within a certain order: plain - dotted - criss-cross (I was, unfortunately, not able to work out where diagonal stripes fitted into the order). If you can figure out the pattern order, it can help maximise your points chain.",21405
